,BANKTYPE,PUBLICOWNER,CODEOFC,CORPCOORD,FINLIB,REGINTENSITY,BLACKLIST,WOLFSBERG
ABNAmro,1,1,0,0.8,0.83,0.5,1,0
Barclays,1,1,1,0.2,1,0.83,1,1
BNPParibas,1,1,0.5,0.8,1,0.33,0,0
Carnegie,0,1,0,0.6,0.83,0.33,0,0
Citigroup,1,1,1,0,1,1,1,1
Coutts,0,1,0.5,0.2,1,0.83,1,0
CS,1,1,1,0.4,0.83,0.33,1,1
Deutsche,1,1,1,1,0.67,0,0,1
GoldmanS,0,1,1,0,1,1,1,1
HSBC,1,1,0.5,0.2,1,0.83,1,1
ING,1,1,0.5,0.8,0.83,0.5,1,0
JPMorgan,1,1,1,0,1,1,1,1
JuliusBaer,0,1,0,0.4,0.83,0.33,1,0
LCF,0,0,0,0.8,1,0.17,0,0
LODH,0,0,0,0.4,0.83,0.33,1,0
MeesPierson,0,1,0,0.8,0.83,0.5,1,0
MerrillLynch,0,1,0.5,0,1,1,1,0
MorganS,0,1,1,0,1,1,1,0
Nordea,1,1,0.5,0.6,0.83,0.33,0,0
PictetCie,0,0,0,0.4,0.83,0.33,1,0
RBC,1,1,1,0.2,1,0.33,0,0
Rothschild,0,0,0,0.2,1,0.83,1,0
Santander,1,1,1,0.8,1,0,0,1
SG,1,1,1,0.8,1,0.17,0,1
UBP,0,0,0,0.4,0.83,0.33,1,0
UBS,1,1,1,0.4,0.83,0.33,1,1
