,WPP,WSE,RIGHT,UR
LubbersI,0.33,0.83,1,0.83
LubbersII,0.17,0.33,1,0.33
LubbersIII,0.33,0.67,0.6,0.67
KokI,0.17,0.4,0.4,0.67
KokII,0.33,0.33,0.4,0.17
BalkenendeII,0.67,0.67,1,0.83
KohlI,0.17,0.33,1,0.33
KohlII,0.33,0.17,1,0.17
KohlIII,0.17,0.33,1,0.33
KohlIV,0.67,0.67,1,0.67
SchröderI,0.33,0.4,0,0.17
SchröderII,0.83,0.83,0,0.83
SchlüterI,0.33,0.33,1,0.33
SchlüterII,0.33,0.6,1,0.67
SchlüterIV,0.33,0.67,1,0.17
SchlüterV,0.6,0.67,1,0.33
RasmussenI,0.17,0.17,0.4,0.17
RasmussenII,0.6,0.6,0.25,0.83
RasmussenIV,0.33,0.33,0.25,0.67
ThatcherI,0.17,0.83,1,0.83
ThatcherII,0.33,0.33,1,0.67
ThatcherIII,0.33,0.67,1,0.67
MajorI,0.33,0.6,1,0.67
BlairI,0.17,0.33,0,0.4
BlairII,0.33,0.33,0,0.33
